Designator,Mid X,Mid Y,Rotation,Layer
D1,7.1438,142.875,90.0,bottom
D10,192.8813,142.875,90.0,bottom
D11,211.9313,142.875,90.0,bottom
D12,230.9813,142.875,90.0,bottom
D13,250.0313,142.875,90.0,bottom
D14,273.8438,142.875,90.0,bottom
D15,7.1438,123.825,90.0,bottom
D16,26.1938,123.825,90.0,bottom
D17,45.2438,123.825,90.0,bottom
D18,64.2938,123.825,90.0,bottom
D19,83.3438,123.825,90.0,bottom
D2,30.9563,142.875,90.0,bottom
D20,102.3938,123.825,90.0,bottom
D21,121.4438,123.825,90.0,bottom
D22,140.4938,123.825,90.0,bottom
D23,159.5438,123.825,90.0,bottom
D24,178.5938,123.825,90.0,bottom
D25,197.6438,123.825,90.0,bottom
D26,216.6938,123.825,90.0,bottom
D27,235.7438,123.825,90.0,bottom
D28,264.3188,123.825,90.0,bottom
D29,292.8938,123.825,90.0,bottom
D3,50.0063,142.875,90.0,bottom
D30,11.9063,105.5063,90.0,bottom
D31,35.7188,105.5063,90.0,bottom
D32,54.7688,105.5063,90.0,bottom
D33,73.8188,104.775,90.0,bottom
D34,92.8688,104.775,90.0,bottom
D35,111.9188,104.775,90.0,bottom
D36,130.9688,104.775,90.0,bottom
D37,150.0188,104.775,90.0,bottom
D38,169.0688,104.775,90.0,bottom
D39,188.1188,104.775,90.0,bottom
D4,69.0563,142.875,90.0,bottom
D40,207.1688,104.775,90.0,bottom
D41,226.2188,104.775,90.0,bottom
D42,245.2688,104.775,90.0,bottom
D43,269.0813,104.775,90.0,bottom
D44,292.8938,104.775,90.0,bottom
D45,14.2875,85.725,90.0,bottom
D46,40.4813,85.725,90.0,bottom
D47,59.5313,85.725,90.0,bottom
D48,78.5813,85.725,90.0,bottom
D49,97.6313,85.725,90.0,bottom
D5,88.1063,142.875,90.0,bottom
D50,116.6813,85.725,90.0,bottom
D51,135.7313,85.725,90.0,bottom
D52,154.7813,85.725,90.0,bottom
D53,173.8313,85.725,90.0,bottom
D54,192.8813,85.725,90.0,bottom
D55,211.9313,85.725,90.0,bottom
D56,230.9813,85.725,90.0,bottom
D57,261.9375,85.725,90.0,bottom
D58,292.8938,85.725,90.0,bottom
D59,19.0182,66.675,90.0,bottom
D6,111.9188,142.875,90.0,bottom
D60,50.0063,66.675,90.0,bottom
D61,71.4375,66.675,90.0,bottom
D62,88.1063,66.675,90.0,bottom
D63,107.1563,66.675,90.0,bottom
D64,126.2063,66.675,90.0,bottom
D65,145.2563,66.675,90.0,bottom
D66,164.3063,66.675,90.0,bottom
D67,183.3563,66.675,90.0,bottom
D68,202.4063,66.675,90.0,bottom
D69,221.4563,66.675,90.0,bottom
D7,130.9688,142.875,90.0,bottom
D71,247.65,66.675,90.0,bottom
D72,273.8438,66.675,90.0,bottom
D73,9.525,47.625,90.0,bottom
D74,33.3375,47.625,90.0,bottom
D75,57.15,47.625,90.0,bottom
D76,128.5875,47.625,90.0,bottom
D77,197.6438,47.625,90.0,bottom
D78,216.6938,47.625,90.0,bottom
D79,235.7438,47.625,90.0,bottom
D8,150.0188,142.875,90.0,bottom
D80,254.7938,47.625,90.0,bottom
D81,273.8438,47.625,90.0,bottom
D82,292.8938,47.625,90.0,bottom
D83,285.75,142.875,90.0,bottom
D84,292.8938,66.675,90.0,bottom
D9,169.0688,142.875,90.0,bottom
SW1,0.0,145.04,0.0,top
SW10,185.7375,145.04,0.0,top
SW11,204.7875,145.04,0.0,top
SW12,223.8375,145.04,0.0,top
SW13,242.8875,145.04,0.0,top
SW14,266.7,145.04,0.0,top
SW15,0.0,125.99,0.0,top
SW16,19.05,125.99,0.0,top
SW17,38.1,125.99,0.0,top
SW18,57.15,125.99,0.0,top
SW19,76.2,125.99,0.0,top
SW2,23.8125,145.04,0.0,top
SW20,95.25,125.99,0.0,top
SW21,114.3,125.99,0.0,top
SW22,133.35,125.99,0.0,top
SW23,152.4,125.99,0.0,top
SW24,171.45,125.99,0.0,top
SW25,190.5,125.99,0.0,top
SW26,209.55,125.99,0.0,top
SW27,228.6,125.99,0.0,top
SW28,257.175,125.99,0.0,top
SW29,285.75,125.99,0.0,top
SW3,42.8625,145.04,0.0,top
SW30,4.7625,106.94,0.0,top
SW31,28.575,106.94,0.0,top
SW32,47.625,106.94,0.0,top
SW33,66.675,106.94,0.0,top
SW34,85.725,106.94,0.0,top
SW35,104.775,106.94,0.0,top
SW36,123.825,106.94,0.0,top
SW37,142.875,106.94,0.0,top
SW38,161.925,106.94,0.0,top
SW39,180.975,106.94,0.0,top
SW4,61.9125,145.04,0.0,top
SW40,200.025,106.94,0.0,top
SW41,219.075,106.94,0.0,top
SW42,238.125,106.94,0.0,top
SW43,261.9375,106.94,0.0,top
SW44,285.75,106.94,0.0,top
SW45,7.1438,87.89,0.0,top
SW46,33.3375,87.89,0.0,top
SW47,52.3875,87.89,0.0,top
SW48,71.4375,87.89,0.0,top
SW49,90.4875,87.89,0.0,top
SW5,80.9625,145.04,0.0,top
SW50,109.5375,87.89,0.0,top
SW51,128.5875,87.89,0.0,top
SW52,147.6375,87.89,0.0,top
SW53,166.6875,87.89,0.0,top
SW54,185.7375,87.89,0.0,top
SW55,204.7875,87.89,0.0,top
SW56,223.8375,87.89,0.0,top
SW57,254.7938,87.89,0.0,top
SW58,285.75,87.89,0.0,top
SW59,11.8745,68.84,0.0,top
SW6,104.775,145.04,0.0,top
SW60,42.8625,68.84,0.0,top
SW61,61.9125,68.84,0.0,top
SW62,80.9625,68.84,0.0,top
SW63,100.0125,68.84,0.0,top
SW64,119.0625,68.84,0.0,top
SW65,138.1125,68.84,0.0,top
SW66,157.1625,68.84,0.0,top
SW67,176.2125,68.84,0.0,top
SW68,195.2625,68.84,0.0,top
SW69,214.3125,68.84,0.0,top
SW7,123.825,145.04,0.0,top
SW71,240.5063,68.84,0.0,top
SW72,266.7,68.84,0.0,top
SW73,2.3813,49.79,0.0,top
SW74,26.1938,49.79,0.0,top
SW75,50.0063,49.79,0.0,top
SW76,121.4438,49.79,0.0,top
SW77,190.5,49.79,0.0,top
SW78,209.55,49.79,0.0,top
SW79,228.6,49.79,0.0,top
SW8,142.875,145.04,0.0,top
SW80,247.65,49.79,0.0,top
SW81,266.7,49.79,0.0,top
SW82,285.75,49.79,0.0,top
SW83,285.75,142.625,0.0,top
SW84,285.75,68.84,0.0,top
SW9,161.925,145.04,0.0,top
U1,-26.1156,125.5475,0.0,top
