Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D9",Diode_SOD-123,83,~,
S1,Stabilizer_MX_6.25u,1,MX_stab,
"S2, S3, S4, S5",Stabilizer_MX_2.00u,4,MX_stab,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW29, SW3, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW44, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW58, SW6, SW60, SW61, SW62, SW63, SW64, SW65, SW66, SW67, SW68, SW69, SW7, SW72, SW77, SW78, SW79, SW8, SW80, SW81, SW82, SW84, SW9",MX_PCB_1.00u,71,Switch,
SW28,MX_PCB_2.00u,1,Switch,
"SW30, SW43",MX_PCB_1.50u,2,Switch,
"SW45, SW71",MX_PCB_1.75u,2,Switch,
"SW57, SW59",MX_PCB_2.25u,2,Switch,
"SW73, SW74, SW75",MX_PCB_1.25u,3,Switch,
SW76,MX_PCB_6.25u,1,Switch,
SW83,ROT_Alps_EC11E-Switch,1,RotaryEncoder_Switch,
U1,Raspberry_Pi_Pico,1,Raspberry_Pi_Pico,
